dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-05-15,15288,17098,91046,56031,1282,2585,551
2013-05-05-16,15070,16763,91469,55247,1188,2247,492
2013-05-05-17,15935,20384,111093,60233,1258,2450,493
2013-05-05-18,19580,44567,391437,186546,4401,7893,1612
2013-05-05-19,15666,30166,248489,144860,2847,4946,1209
2013-05-05-20,11143,20917,154654,84537,1511,3030,598
2013-05-05-21,8288,13860,97606,59710,1092,2248,459
2013-05-05-22,5855,8959,56930,37561,540,1293,250
2013-05-05-23,4357,6636,32003,39159,274,811,104
2013-05-06-00,2997,4196,19291,20817,281,557,113
2013-05-06-01,2732,3522,13193,14240,152,298,63
2013-05-06-02,2978,3660,17017,14032,143,295,45
2013-05-06-03,3924,5387,33881,21208,281,586,134
2013-05-06-04,6502,8986,58671,34220,643,974,294
2013-05-06-05,11065,11992,76105,43436,882,1589,454
2013-05-06-06,12582,13548,91922,51046,1212,1846,591
2013-05-06-07,15142,17362,106474,58893,1414,2166,762
2013-05-06-08,20224,43499,354795,194765,4869,7093,1207
2013-05-06-09,17371,25461,177618,112167,2492,5106,838
2013-05-06-10,17453,21951,135328,83113,1751,3269,610
2013-05-06-11,17095,19387,111149,72714,1431,2426,476
2013-05-06-12,16621,18299,95888,71801,1256,2137,462
2013-05-06-13,15606,16790,87899,62225,1081,2141,424
2013-05-06-14,14084,15365,80414,53174,931,1709,366
2013-05-06-15,13841,15212,72105,55498,934,1746,286
2013-05-06-16,14464,16013,77018,48700,875,1681,368
2013-05-06-17,15315,19310,95268,58122,1019,2163,336
2013-05-06-18,18337,42643,374641,199375,4692,7836,1709
2013-05-06-19,15376,29075,224012,139282,2591,4484,1016
2013-05-06-20,12369,20121,144514,92769,1700,3130,678
2013-05-06-21,9641,13441,85812,61066,1003,2128,425
2013-05-06-22,6329,8172,47952,40216,583,1060,245
2013-05-06-23,4501,5634,27193,38304,328,736,107
2013-05-07-00,3182,4261,17997,21696,214,408,40
2013-05-07-01,2558,3339,13075,23383,191,443,55
2013-05-07-02,2715,3785,18527,24858,264,386,45
2013-05-07-03,3870,5112,31478,33919,348,571,175
2013-05-07-04,6171,7217,48287,48128,583,825,258
2013-05-07-05,9860,10040,63969,39725,765,1334,388
2013-05-07-06,10057,11741,73017,52496,1073,1741,513
2013-05-07-07,13244,14423,85027,58154,1088,1579,452
2013-05-07-08,19021,41784,386556,179497,4580,7568,1886
2013-05-07-09,15612,23995,189407,104996,1977,3907,975
2013-05-07-10,16399,19736,139336,79126,1394,2577,625
2013-05-07-11,14283,17451,115464,68141,1062,2070,468
2013-05-07-12,14631,16698,100202,60979,998,1785,402
2013-05-07-13,15221,15651,92529,68558,873,1709,383
2013-05-07-14,12875,14225,80015,58746,688,1478,322
2013-05-07-15,11969,13703,73407,52394,598,1193,262
2013-05-07-16,11877,15163,75284,52719,579,1080,271
2013-05-07-17,12887,17383,99785,56930,781,1625,315
2013-05-07-18,15992,39539,380809,189619,4061,7718,1431
2013-05-07-19,13717,27186,232785,139404,2295,4737,879
2013-05-07-20,11000,19424,152062,93366,1434,2701,551
2013-05-07-21,7843,12649,86643,57835,940,1550,286
2013-05-07-22,5574,8395,52000,35893,550,932,203
2013-05-07-23,4367,6262,31654,36697,334,514,72
2013-05-08-00,2837,4138,19116,21385,197,284,51
2013-05-08-01,2460,3354,13899,24338,165,209,66
2013-05-08-02,2748,3547,18572,20185,148,238,26
2013-05-08-03,3600,5139,32188,27792,272,473,101
2013-05-08-04,5725,8008,52979,38534,515,912,245
2013-05-08-05,9551,10299,71045,39952,727,1102,349
2013-05-08-06,9312,11817,81140,55716,965,1526,470
2013-05-08-07,12046,15035,89250,58032,1187,1713,485
2013-05-08-08,18748,38986,368487,204097,7049,9833,2677
2013-05-08-09,17363,25098,191144,123467,3175,5519,1572
2013-05-08-10,15791,19919,140721,95701,2235,3540,1089
2013-05-08-11,15845,17629,112805,68180,1634,2729,772
2013-05-08-12,15104,17054,101052,63379,1339,2461,618
