dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-21-09,22543,30771,199184,106346,2636,5280,1230
2013-05-21-10,20771,26006,156500,84450,2142,3870,894
2013-05-21-11,23362,24494,132897,77149,1769,3477,731
2013-05-21-12,22498,22875,116505,71762,1530,2921,694
2013-05-21-13,23348,23088,109377,77825,1420,2781,632
2013-05-21-14,19639,20940,94701,68047,1011,2163,449
2013-05-21-15,16772,19126,84321,54837,842,2063,391
2013-05-21-16,17510,20423,87899,52325,895,2100,377
2013-05-21-17,17421,23040,105339,65145,1038,2232,440
2013-05-21-18,21231,52426,378298,159228,3956,8215,1576
2013-05-21-19,18235,37348,239444,119910,2460,5182,1005
2013-05-21-20,15312,26707,156317,88571,1682,3835,709
2013-05-21-21,10479,17840,93775,71768,1044,2145,421
2013-05-21-22,7849,13188,57567,35403,666,1388,249
2013-05-21-23,4990,9047,34771,40379,365,826,139
2013-05-22-00,3507,6560,19986,20556,238,525,74
2013-05-22-01,3067,6472,14158,20434,179,373,65
2013-05-22-02,2678,6965,19384,18672,212,367,58
2013-05-22-03,4501,8752,34014,27512,416,637,197
2013-05-22-04,7496,11800,49797,26336,650,1154,344
2013-05-22-05,11944,15615,72197,33382,855,1421,433
2013-05-22-06,16614,19820,85752,47731,1124,1822,497
2013-05-22-07,18167,22001,97684,64646,1430,2508,683
2013-05-22-08,24105,51534,412102,189704,5504,9754,1869
2013-05-22-09,34099,37969,224092,118723,3023,5953,1219
2013-05-22-10,33904,35487,179242,91628,2111,3711,828
2013-05-22-11,30498,30904,146225,80942,1978,3630,826
2013-05-22-12,29123,27118,124397,76201,1540,2884,615
2013-05-22-13,29843,25523,116177,85135,1410,2650,500
2013-05-22-14,23982,22045,97708,69220,1042,2044,413
2013-05-22-15,18712,18810,90342,53499,914,1770,378
2013-05-22-16,20220,20203,94995,53640,932,1737,371
2013-05-22-17,19652,22414,102784,51644,914,2193,334
2013-05-22-18,21421,26424,118168,58777,935,2343,332
2013-05-22-19,21133,26030,111082,65298,971,2395,336
2013-05-22-20,18216,22168,88658,54548,849,2319,324
2013-05-22-21,10569,15449,58890,35358,601,1424,236
2013-05-22-22,7128,10272,35819,23876,384,810,131
2013-05-22-23,4825,7610,21343,30433,177,332,40
2013-05-23-00,3255,5116,12462,12507,93,292,29
2013-05-23-01,2582,4791,9536,15319,107,173,21
2013-05-23-02,2828,4642,12370,26032,100,140,40
2013-05-23-03,4456,5890,19103,18427,129,344,39
2013-05-23-04,7561,8470,26825,16655,245,414,113
2013-05-23-05,11202,11461,39291,24086,496,1052,207
2013-05-23-06,14646,14249,47776,27361,612,1220,237
2013-05-23-07,17690,18010,68530,43871,732,1338,332
2013-05-23-08,25185,51132,411602,210177,4759,8184,1506
2013-05-23-09,19683,29902,192536,118343,2174,4677,823
2013-05-23-10,19647,26144,143476,87435,1572,3285,658
2013-05-23-11,20006,23152,121759,78977,1299,2711,527
2013-05-23-12,18506,21128,106166,75391,1154,2396,483
2013-05-23-13,18452,20919,98663,79871,998,2076,430
2013-05-23-14,18443,19333,87120,68235,803,1875,330
2013-05-23-15,16480,18231,75866,50766,696,1478,319
2013-05-23-16,14974,18825,77133,47598,627,1597,252
2013-05-23-17,16660,21667,96457,52154,690,1866,273
2013-05-23-18,20625,47992,363059,190231,4108,7985,1252
2013-05-23-19,18012,36256,241745,142627,2641,5743,884
2013-05-23-20,14392,26740,163385,102794,1784,3802,673
2013-05-23-21,9753,17728,101355,70707,1276,2738,341
2013-05-23-22,6713,12265,63586,47632,743,1821,247
2013-05-23-23,4570,8741,35132,42400,519,954,116
2013-05-24-00,3034,6768,21450,19126,263,495,91
2013-05-24-01,2358,4926,15088,21695,228,515,85
2013-05-24-02,2814,5703,21218,20159,178,476,78
2013-05-24-03,4495,7877,36726,39845,416,788,142
2013-05-24-04,8153,11282,57342,47740,704,1210,252
2013-05-24-05,13125,15350,78073,57456,1090,2003,459
2013-05-24-06,15529,18922,92870,58330,1416,2630,676
2013-05-24-07,18828,21978,102520,68735,1529,3082,638
2013-05-24-08,24920,51665,393412,172724,5878,9713,2261
2013-05-24-09,20867,31700,215330,110814,3249,5565,1286
2013-05-24-10,16440,24744,149919,82020,1976,3559,847
2013-05-24-11,16455,22106,124814,72587,1690,3163,702
2013-05-24-12,15710,20151,107562,64615,1400,2886,609
2013-05-24-13,14534,18948,96072,55855,1147,2214,496
2013-05-24-14,13823,18654,93592,54061,1160,1938,453
2013-05-24-15,12459,17493,86501,50141,953,2103,431
2013-05-24-16,12672,17685,81089,44378,820,1925,337
2013-05-24-17,13643,18931,85959,44797,840,1711,391
2013-05-24-18,14879,20778,95182,51966,936,2132,352
2013-05-24-19,14433,20536,91730,53694,777,1987,326
2013-05-24-20,12318,18098,75441,48323,716,1622,277
2013-05-24-21,8370,12939,52745,33913,492,1406,165
2013-05-24-22,5646,10100,32682,22948,370,861,118
2013-05-24-23,3958,7523,19944,28561,155,363,37
2013-05-25-00,2583,5233,13571,12811,133,354,29
2013-05-25-01,2099,4888,9368,16007,77,147,33
2013-05-25-02,2118,4938,10739,14920,79,145,31
2013-05-25-03,3343,6085,17669,20145,175,338,47
2013-05-25-04,6633,9142,31695,40911,301,683,85
2013-05-25-05,9532,12498,45762,35533,460,1040,174
2013-05-25-06,11882,14840,53433,32066,668,1422,284
2013-05-25-07,13593,18192,67668,38561,746,1456,317
2013-05-25-08,15807,40847,301991,156961,4621,8620,1804
2013-05-25-09,14197,26324,178788,104876,2504,5204,1051
2013-05-25-10,13349,21864,147884,77315,1708,3903,787
2013-05-25-11,13504,19824,154208,69163,1410,3243,583
2013-05-25-12,13146,18185,139301,60112,1125,2365,515
2013-05-25-13,13498,17943,132326,59838,878,1887,331
2013-05-25-14,13574,17822,126925,57211,992,2181,388
2013-05-25-15,13303,16541,118864,50033,794,1435,279
2013-05-25-16,12584,16813,117294,50243,723,1703,324
2013-05-25-17,13449,17930,108246,41327,647,1401,299
2013-05-25-18,14227,20617,95288,52116,803,1634,231
2013-05-25-19,13713,20246,94701,58473,596,1446,230
2013-05-25-20,11892,17184,76782,46725,623,1319,218
2013-05-25-21,7969,12419,57024,40000,539,1282,190
2013-05-25-22,5749,8731,35980,27179,324,668,100
2013-05-25-23,4198,6789,24256,36323,230,438,68
2013-05-26-00,2839,4801,14674,21053,94,249,46
2013-05-26-01,2230,3724,9781,20227,49,183,16
2013-05-26-02,2101,3471,10654,18017,101,154,16
2013-05-26-03,2906,4388,15337,20914,124,217,46
2013-05-26-04,5655,7499,28639,23566,270,486,91
2013-05-26-05,8347,10855,43038,28856,408,926,180
2013-05-26-06,10677,13282,52928,31280,598,1286,233
2013-05-26-07,12652,16294,62056,51413,720,1579,275
2013-05-26-08,15303,38695,272036,148767,4708,8480,1734
2013-05-26-09,14148,25747,170969,110539,2928,5246,1327
2013-05-26-10,13146,20835,128437,82043,1989,3640,864
2013-05-26-11,12625,18597,110499,72606,1625,3346,695
2013-05-26-12,12345,17369,97606,60229,1231,2553,480
2013-05-26-13,12157,17092,91420,53056,1221,2477,457
2013-05-26-14,12790,16741,84692,49948,1066,2061,428
2013-05-26-15,12881,17332,83603,48916,994,1917,343
2013-05-26-16,12976,17024,81447,47335,873,1832,359
2013-05-26-17,14098,19995,96146,52224,921,1889,327
2013-05-26-18,17962,47664,358561,163461,3979,7907,1388
2013-05-26-19,16744,35922,255178,123316,3010,6117,1133
2013-05-26-20,14189,28510,184147,96080,1916,3940,684
2013-05-26-21,9217,18737,118153,65656,1269,2561,467
2013-05-26-22,6744,12892,74221,44986,817,1706,289
2013-05-26-23,4442,8557,43303,51096,474,925,126
2013-05-27-00,3186,6019,27312,22024,354,693,83
2013-05-27-01,2379,4062,17200,20936,242,504,118
2013-05-27-02,2084,3888,19123,19022,158,316,63
2013-05-27-03,3044,5807,31880,26025,323,453,108
2013-05-27-04,6099,10046,61566,39542,702,1066,283
2013-05-27-05,9811,15003,89126,50481,1014,2084,446
2013-05-27-06,12556,17603,98321,49769,1191,2605,516
2013-05-27-07,13359,21185,108597,56907,1659,3281,717
2013-05-27-08,17894,51770,403719,261891,11502,23005,3497
2013-05-27-09,16035,32089,237038,161896,5926,13707,2404
2013-05-27-10,14178,25574,163580,99513,3552,7981,1480
2013-05-27-11,14499,22456,132969,89295,2515,5393,982
2013-05-27-12,14096,20373,114784,69546,1921,3836,696
2013-05-27-13,13181,19682,103988,71120,1725,3519,795
2013-05-27-14,13710,19154,95616,63782,1357,2765,491
2013-05-27-15,14312,19289,91948,57686,1279,2738,526
2013-05-27-16,14881,20654,98291,60957,1193,2650,490
2013-05-27-17,16366,24371,116527,62135,1240,2709,432
2013-05-27-18,19638,56067,386747,156383,4329,8329,1277
2013-05-27-19,16768,38294,244580,108896,3011,5829,1130
2013-05-27-20,12933,26490,158283,75443,1974,4019,731
2013-05-27-21,8563,16791,96013,49821,1255,2717,547
2013-05-27-22,5798,11009,57245,34777,723,1448,237
2013-05-27-23,3720,7099,32071,39190,435,775,131
2013-05-28-00,2785,5006,20735,19753,297,553,112
2013-05-28-01,2127,4050,15206,20405,201,393,69
2013-05-28-02,2475,4407,19872,17086,186,309,39
2013-05-28-03,3685,6656,37385,25378,342,415,108
2013-05-28-04,6980,10348,60524,32370,637,921,192
2013-05-28-05,10826,14117,79712,38810,849,1499,379
2013-05-28-06,15423,19327,99576,41268,1211,1967,410
2013-05-28-07,16913,22239,111204,50035,1383,2090,510
2013-05-28-08,21342,50688,399757,190725,5790,10110,2104
2013-05-28-09,18935,30782,213774,112432,2840,5374,1232
2013-05-28-10,16815,25877,159138,81002,2054,3725,769
2013-05-28-11,16873,22753,129811,80700,1632,3097,646
2013-05-28-12,16929,22464,115092,69282,1384,2387,531
2013-05-28-13,19874,22874,108713,70942,1184,2293,450
2013-05-28-14,16549,19988,97972,60828,1004,1895,347
2013-05-28-15,15241,18012,84346,44889,890,1768,351
2013-05-28-16,15987,20286,90240,51684,929,1975,342
2013-05-28-17,16827,22945,105720,55312,987,1888,347
2013-05-28-18,20243,52413,383370,183309,4252,8305,1384
2013-05-28-19,17851,36869,240049,122919,2751,5661,1066
2013-05-28-20,14421,26234,155828,85445,1737,3638,733
2013-05-28-21,9275,16771,93358,54349,1007,2407,420
2013-05-28-22,6334,10754,55622,36267,640,1204,243
2013-05-28-23,4221,6879,30247,36589,410,927,144
2013-05-29-00,2286,3966,15602,13851,218,511,82
2013-05-29-01,1937,3129,11884,16242,112,273,43
2013-05-29-02,2080,3572,16302,16741,175,303,35
2013-05-29-03,3406,5186,27788,16630,255,530,101
2013-05-29-04,5571,7612,43270,23186,475,873,246
2013-05-29-05,9174,10863,57128,28513,668,1112,313
2013-05-29-06,10539,13184,66842,38882,777,1285,330
2013-05-29-07,11982,14880,76146,40641,998,1430,349
2013-05-29-08,19930,41531,318348,149745,4450,7403,1737
2013-05-29-09,17327,25116,163091,94153,2228,4800,993
2013-05-29-10,16913,21793,122956,69946,1792,3353,826
2013-05-29-11,15797,19742,105081,59679,1356,2771,608
2013-05-29-12,16929,19530,89219,54222,1035,2030,413
2013-05-29-13,16563,19132,81782,68790,1000,2129,419
2013-05-29-14,15260,16589,75186,54240,813,1592,346
2013-05-29-15,14143,14567,67445,48157,710,1360,323
2013-05-29-16,14099,15035,65979,43830,650,1298,261
2013-05-29-17,14524,16672,69841,40128,671,1618,273
2013-05-29-18,16597,22836,93492,51222,872,2014,364
2013-05-29-19,15808,21737,86413,47649,768,1937,271
2013-05-29-20,12480,17553,65699,36947,605,1553,228
2013-05-29-21,8450,11981,45136,28139,386,1042,153
2013-05-29-22,6090,8334,28790,20093,320,619,89
2013-05-29-23,3568,5784,17362,26527,182,470,72
2013-05-30-00,2447,4371,11134,12906,57,210,20
2013-05-30-01,2319,2949,8465,18207,75,274,32
2013-05-30-02,2322,3124,10748,15873,57,185,24
2013-05-30-03,3687,4780,15608,19425,136,250,54
2013-05-30-04,6593,7045,23322,19255,228,510,92
2013-05-30-05,9475,9638,30652,23860,308,666,126
2013-05-30-06,11878,11865,38308,30255,510,1024,202
2013-05-30-07,13825,15064,49323,39689,674,1220,294
2013-05-30-08,20065,43019,266212,144685,5879,9224,2303
2013-05-30-09,17514,25353,134253,94359,3116,5342,1502
2013-05-30-10,16111,22629,102407,71407,2357,3941,1048
2013-05-30-11,15914,19116,81866,54437,1669,3010,751
2013-05-30-12,16341,18469,71601,51038,1544,2578,630
2013-05-30-13,16002,18637,67770,55511,1320,2381,579
2013-05-30-14,14527,16855,59214,57356,1032,1935,484
2013-05-30-15,13559,15357,50704,42362,982,1766,386
2013-05-30-16,14347,15881,53343,36410,936,1705,388
2013-05-30-17,15313,18609,68446,44204,1047,2004,394
2013-05-30-18,19511,48283,388972,203841,4754,8597,1464
2013-05-30-19,18287,35978,259251,144434,3230,6444,1224
2013-05-30-20,14426,25524,167668,98109,2098,4361,795
2013-05-30-21,9119,16098,100767,61556,1244,2879,520
2013-05-30-22,6169,10608,60235,47302,831,1814,286
2013-05-30-23,4135,6625,33460,34796,457,955,170
2013-05-31-00,2754,5303,21726,21344,292,524,98
2013-05-31-01,2415,3701,15447,19539,210,282,48
2013-05-31-02,2704,4167,21946,18701,241,407,60
2013-05-31-03,4526,6691,41977,32856,458,884,159
2013-05-31-04,7707,9827,62173,39046,777,1315,310
2013-05-31-05,11674,12948,81473,51399,1059,2015,460
2013-05-31-06,14905,16366,98146,58383,1365,2422,620
2013-05-31-07,18374,18965,109538,69371,1700,2643,653
2013-05-31-08,25736,47630,396650,199468,5971,10245,2549
2013-05-31-09,22265,29378,210590,130660,3121,5672,1590
2013-05-31-10,18905,23878,154192,90952,1993,3460,887
2013-05-31-11,20328,22181,130185,80498,1737,3370,803
2013-05-31-12,20435,21614,112570,75867,1436,2631,801
2013-05-31-13,24191,22488,104822,72292,1235,2444,560
2013-05-31-14,21733,20554,92941,62994,1104,2195,530
2013-05-31-15,18203,19944,83326,54767,893,1915,421
2013-05-31-16,17981,19131,83034,73391,923,1725,343
2013-05-31-17,18096,20381,81466,66626,861,1707,342
2013-05-31-18,18830,24750,95725,80159,994,2423,474
2013-05-31-19,18176,28047,95469,51705,899,2069,435
2013-05-31-20,14901,25659,74948,43137,699,1892,299
2013-05-31-21,7604,18307,53175,34335,620,1538,234
2013-05-31-22,6465,15348,31687,23464,361,945,154
2013-05-31-23,5320,12846,20995,29204,254,574,78
2013-06-01-00,3445,5572,13158,15646,144,331,48
2013-06-01-01,2880,4263,8402,17965,85,296,17
2013-06-01-02,2865,3335,10682,19032,76,207,38
2013-06-01-03,4120,4293,16352,23312,134,391,56
2013-06-01-04,6425,6751,25614,27380,284,554,118
2013-06-01-05,8417,9586,36806,36461,458,1016,210
2013-06-01-06,9819,11424,42710,30921,623,1216,307
2013-06-01-07,11216,13255,50057,30955,638,1396,343
2013-06-01-08,14829,33607,239265,132091,3884,7743,1307
2013-06-01-09,13341,22553,145712,91698,2435,4782,1121
2013-06-01-10,12930,19916,117031,72197,1762,3262,804
2013-06-01-11,14686,18416,98329,62910,1578,3046,659
2013-06-01-12,14882,18122,90713,56676,1148,2463,454
2013-06-01-13,14626,17463,83647,57965,1037,2350,408
2013-06-01-14,13409,16126,77857,52982,799,1988,295
2013-06-01-15,12979,15780,72469,50732,755,1833,361
2013-06-01-16,12609,15282,67376,43045,660,1571,281
2013-06-01-17,12598,16105,72378,42150,721,1619,216
2013-06-01-18,13866,18993,85373,60140,850,1950,358
2013-06-01-19,13224,19234,86441,50291,895,2050,234
2013-06-01-20,12529,16486,69979,41583,622,1337,237
2013-06-01-21,8571,11095,51056,33261,450,972,177
2013-06-01-22,6912,8290,33800,22885,252,700,88
2013-06-01-23,4904,5639,21682,27546,222,577,49
2013-06-02-00,4258,4728,15192,14211,120,270,34
2013-06-02-01,3803,5091,11879,19901,118,276,39
2013-06-02-02,3804,5550,12128,15809,58,226,28
2013-06-02-03,4815,5222,15867,21006,106,249,25
2013-06-02-04,6685,7884,28788,28833,204,579,84
2013-06-02-05,9643,10187,44560,37818,486,1056,164
2013-06-02-06,11025,12742,51129,39467,562,1243,259
2013-06-02-07,11960,15414,59878,38313,742,1552,267
2013-06-02-08,12317,32115,184287,99563,2390,5216,774
2013-06-02-09,11034,23452,116751,64189,1364,2679,526
2013-06-02-10,15720,25905,139764,83967,1529,3479,729
2013-06-02-11,14714,21875,117866,74591,1373,2732,609
2013-06-02-12,14389,20409,102193,63341,1073,2390,587
2013-06-02-13,14646,19350,93894,61493,916,2353,470
2013-06-02-14,14625,19210,89943,60026,944,2132,411
2013-06-02-15,14000,18309,82933,53984,754,1665,339
2013-06-02-16,14994,19833,86574,51691,759,1918,314
2013-06-02-17,16141,23528,103393,56150,862,1887,331
2013-06-02-18,21134,53100,403852,201653,4922,9418,1627
2013-06-02-19,16031,35995,254625,136560,3055,5774,1168
2013-06-02-20,13802,26520,124119,75596,1807,3771,648
2013-06-02-21,9180,17053,79617,52866,1201,2684,376
2013-06-02-22,6766,10906,64833,43627,846,1615,307
2013-06-02-23,5490,6745,38015,43008,434,878,185
2013-06-03-00,3880,4633,21963,21134,341,835,137
2013-06-03-01,3428,3509,16167,24458,177,340,53
2013-06-03-02,3580,3729,20837,22632,262,320,84
2013-06-03-03,4133,5598,37410,31266,479,707,185
2013-06-03-04,6867,8850,58439,39416,699,1143,373
2013-06-03-05,10510,12554,81948,50699,1049,1604,422
2013-06-03-06,11237,14962,95730,54606,1324,2125,558
2013-06-03-07,13955,18851,114192,72763,1629,2405,591
2013-06-03-08,20469,50267,406816,195223,6107,9621,2443
2013-06-03-09,18706,29968,206532,114541,2639,4571,1268
2013-06-03-10,15457,24373,156531,86960,1916,2884,783
2013-06-03-11,13807,21158,128350,78303,1627,2947,760
2013-06-03-12,15834,19510,114418,78301,1162,2061,546
2013-06-03-13,14757,19203,105687,69564,1068,1972,494
2013-06-03-14,13176,17366,102880,60390,927,1878,418
2013-06-03-15,11769,18629,105802,69411,886,1935,450
2013-06-03-16,11364,17643,112755,53745,836,1739,395
2013-06-03-17,11876,20688,137715,61780,820,1807,336
2013-06-03-18,13655,60849,502504,174006,3563,6415,1444
2013-06-03-19,11429,39950,315740,129733,2126,4197,951
2013-06-03-20,8819,28517,211740,79524,1475,2903,708
2013-06-03-21,6870,18488,130351,56933,994,1902,409
2013-06-03-22,5100,12320,77987,36847,621,1196,294
2013-06-03-23,3370,7839,46217,35935,318,626,125
2013-06-04-00,3439,7453,39750,28912,305,487,138
2013-06-04-01,2830,5921,29041,39817,370,520,109
2013-06-04-02,3664,7130,38057,30218,269,487,102
2013-06-04-03,6221,10610,68279,46044,427,872,197
2013-06-04-04,9173,15775,108118,52140,672,1242,330
2013-06-04-05,12200,20876,142058,61787,1175,1818,566
2013-06-04-06,14214,23829,156873,64430,1361,2193,698
2013-06-04-07,14733,24992,166816,77713,1567,2669,744
2013-06-04-08,27309,71809,646008,254321,8916,15329,3461
2013-06-04-09,21682,41951,330145,150348,4272,8072,2056
2013-06-04-10,20550,34847,245945,106620,3066,5628,1441
2013-06-04-11,19113,31539,211871,105600,2504,4613,1107
2013-06-04-12,18659,28472,187565,87697,2144,3755,970
2013-06-04-13,19294,26326,169500,96618,1641,2904,769
2013-06-04-14,17095,24230,161984,116293,1644,2888,807
2013-06-04-15,15347,23452,148468,78535,1346,2216,578
2013-06-04-16,17877,24551,162254,115080,1234,2302,578
2013-06-04-17,17376,29602,202210,120036,1304,2582,612
2013-06-04-18,22593,75208,643412,317398,4363,8569,1670
2013-06-04-19,20180,53906,414472,196108,2924,6029,1147
2013-06-04-20,15474,39547,282527,118659,1900,4284,734
2013-06-04-21,12037,27200,179102,80495,1237,2667,401
2013-06-04-22,9852,17954,105108,53722,703,1343,285
2013-06-04-23,6515,10561,63423,54740,477,1010,139
2013-06-05-00,1977,2791,13511,9314,83,224,25
2013-06-05-01,969,1616,7140,9464,45,76,14
2013-06-05-02,993,1698,9119,9326,55,95,19
2013-06-05-03,1411,2474,14316,12157,99,146,54
2013-06-05-04,2438,3650,21592,12438,147,307,104
2013-06-05-05,3801,4782,30100,14186,250,490,110
2013-06-05-06,4243,5860,34840,17170,240,495,136
2013-06-05-07,4312,6436,39983,18074,377,564,149
2013-06-05-08,7381,20562,182785,77236,2436,3961,961
2013-06-05-09,6372,11624,91954,46732,1334,2272,525
2013-06-05-10,5406,9409,69448,34428,922,1573,369
2013-06-05-11,5570,8897,62576,34438,792,1522,347
2013-06-05-12,6288,8318,56356,28307,579,1135,216
2013-06-05-13,5368,8828,63380,39619,637,1058,210
2013-06-05-14,4749,7843,52352,30989,442,857,182
2013-06-05-15,4780,8363,70196,28697,383,720,186
2013-06-05-16,4959,8533,67676,24330,409,788,154
2013-06-05-17,5564,9730,77021,25057,414,801,127
2013-06-05-18,5820,13356,113396,28619,588,1163,186
2013-06-05-19,5098,11823,96812,30190,476,1077,217
2013-06-05-20,3973,8986,69900,27313,315,755,110
2013-06-05-21,3595,6410,45219,15971,213,555,134
2013-06-05-22,2610,4371,27508,12945,122,282,61
2013-06-05-23,1759,3077,15550,16288,89,191,22
2013-06-06-00,163,255,1167,1072,9,15,0
